,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
1110,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,420,Bull,1.1037,1.1026,1.1028,True
1126,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,420,Bull,1.1037,1.1026,1.1028,True
1196,349,Bear,1.1118,1.1108,1.1114,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,420,Bull,1.1037,1.1026,1.1028,True
1665,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,True
1694,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,True
1813,349,Bear,1.1118,1.1108,1.1114,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,True
1944,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,441,Bull,1.1028,1.1015,1.1021,True
1947,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,441,Bull,1.1028,1.1015,1.1021,True
2016,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,441,Bull,1.1028,1.1015,1.1021,True
2019,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,441,Bull,1.1028,1.1015,1.1021,True
2023,277,Bear,1.1173,1.1157,1.1165,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,441,Bull,1.1028,1.1015,1.1021,True
2280,349,Bear,1.1118,1.1108,1.1114,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,441,Bull,1.1028,1.1015,1.1021,True
2283,349,Bear,1.1118,1.1108,1.1114,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,441,Bull,1.1028,1.1015,1.1021,True
2287,349,Bear,1.1118,1.1108,1.1114,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,441,Bull,1.1028,1.1015,1.1021,True
2299,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,441,Bull,1.1028,1.1015,1.1021,True
1671,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,471,Bull,1.1006,1.0998,1.1,True
1677,277,Bear,1.1173,1.1157,1.1165,328,Bull,1.1085,1.1077,1.1083,349,Bear,1.1118,1.1108,1.1114,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,471,Bull,1.1006,1.0998,1.1,True
1786,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,471,Bull,1.1006,1.0998,1.1,True
1792,277,Bear,1.1173,1.1157,1.1165,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,471,Bull,1.1006,1.0998,1.1,True
1800,277,Bear,1.1173,1.1157,1.1165,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,424,Bull,1.1028,1.102,1.1025,439,Bear,1.1038,1.1028,1.1035,471,Bull,1.1006,1.0998,1.1,True
2195,349,Bear,1.1118,1.1108,1.1114,375,Bull,1.1078,1.107,1.1076,397,Bear,1.1109,1.108,1.1087,400,Bull,1.1046,1.1036,1.1041,416,Bear,1.1062,1.1045,1.1047,471,Bull,1.1006,1.0998,1.1,True
