sn,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,522,Bull,1.38136,1.3798549,1.3812051,23/6/21 22:00,26/6/21 2:00,28/6/21 15:00,29/6/21 20:00,30/6/21 18:00,1/7/21 1:00,525,1.3838,1.383,1.3832,1/7/21 4:00
1,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,522,Bull,1.38136,1.3798549,1.3812051,24/6/21 16:00,26/6/21 2:00,28/6/21 15:00,29/6/21 20:00,30/6/21 18:00,1/7/21 1:00,525,1.3838,1.383,1.3832,1/7/21 4:00
2,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,539,Bull,1.37922,1.37651,1.37913,23/6/21 22:00,26/6/21 2:00,28/6/21 15:00,29/6/21 20:00,30/6/21 18:00,1/7/21 18:00,541,1.3818,1.3804,1.3811,1/7/21 20:00
3,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,539,Bull,1.37922,1.37651,1.37913,24/6/21 16:00,26/6/21 2:00,28/6/21 15:00,29/6/21 20:00,30/6/21 18:00,1/7/21 18:00,541,1.3818,1.3804,1.3811,1/7/21 20:00
4,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,548,Bull,1.376035,1.3752849,1.375785,23/6/21 22:00,26/6/21 2:00,28/6/21 15:00,29/6/21 20:00,30/6/21 18:00,2/7/21 3:00,550,1.3766,1.3759,1.3763,2/7/21 5:00
5,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,548,Bull,1.376035,1.3752849,1.375785,24/6/21 16:00,26/6/21 2:00,28/6/21 15:00,29/6/21 20:00,30/6/21 18:00,2/7/21 3:00,550,1.3766,1.3759,1.3763,2/7/21 5:00
6,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,551,Bull,1.37634,1.37519,1.37607,23/6/21 22:00,26/6/21 2:00,28/6/21 15:00,29/6/21 20:00,30/6/21 18:00,2/7/21 6:00,557,1.3777,1.3768,1.3771,2/7/21 12:00
7,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,551,Bull,1.37634,1.37519,1.37607,24/6/21 16:00,26/6/21 2:00,28/6/21 15:00,29/6/21 20:00,30/6/21 18:00,2/7/21 6:00,557,1.3777,1.3768,1.3771,2/7/21 12:00
8,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,565,Bull,1.37872,1.3731899,1.37801,24/6/21 16:00,26/6/21 2:00,28/6/21 15:00,29/6/21 20:00,30/6/21 18:00,2/7/21 20:00,568,1.3797,1.3781,1.3793,2/7/21 23:00
9,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,953,Bear,1.3833599,1.382445,1.3827751,20/7/21 21:00,21/7/21 8:00,21/7/21 14:00,22/7/21 21:00,23/7/21 19:00,27/7/21 0:00,955,1.3823,1.3814,1.3814,27/7/21 2:00
10,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,979,Bear,1.38943,1.38866,1.388675,20/7/21 21:00,21/7/21 8:00,21/7/21 14:00,22/7/21 21:00,23/7/21 19:00,28/7/21 2:00,985,1.389,1.3874,1.3877,28/7/21 8:00
11,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,979,Bear,1.38943,1.38866,1.388675,20/7/21 21:00,21/7/21 8:00,21/7/21 14:00,27/7/21 0:00,27/7/21 16:00,28/7/21 2:00,985,1.389,1.3874,1.3877,28/7/21 8:00
12,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,992,Bear,1.3895,1.38697,1.38728,20/7/21 21:00,21/7/21 8:00,21/7/21 14:00,22/7/21 21:00,23/7/21 19:00,28/7/21 15:00,998,1.3879,1.3845,1.3849,28/7/21 21:00
13,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,992,Bear,1.3895,1.38697,1.38728,20/7/21 21:00,21/7/21 8:00,21/7/21 14:00,27/7/21 0:00,27/7/21 16:00,28/7/21 15:00,998,1.3879,1.3845,1.3849,28/7/21 21:00
14,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,1023,Bear,1.398205,1.39641,1.3977001,20/7/21 21:00,21/7/21 8:00,21/7/21 14:00,27/7/21 0:00,27/7/21 16:00,29/7/21 22:00,1033,1.3964,1.3948,1.3949,30/7/21 8:00
15,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,20/7/21 21:00,21/7/21 8:00,21/7/21 14:00,28/7/21 15:00,29/7/21 2:00,29/7/21 22:00,1033,1.3964,1.3948,1.3949,30/7/21 8:00
16,854,Bull,1.3617599,1.3572049,1.3614049,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,20/7/21 21:00,22/7/21 21:00,23/7/21 19:00,28/7/21 15:00,29/7/21 2:00,29/7/21 22:00,1033,1.3964,1.3948,1.3949,30/7/21 8:00
17,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,21/7/21 14:00,22/7/21 21:00,23/7/21 19:00,28/7/21 15:00,29/7/21 2:00,29/7/21 22:00,1033,1.3964,1.3948,1.3949,30/7/21 8:00
18,924,Bull,1.374045,1.372005,1.3735449,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,23/7/21 19:00,27/7/21 0:00,27/7/21 16:00,28/7/21 15:00,29/7/21 2:00,29/7/21 22:00,1033,1.3964,1.3948,1.3949,30/7/21 8:00
19,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,1042,Bear,1.398345,1.3966899,1.3974049,20/7/21 21:00,21/7/21 8:00,21/7/21 14:00,27/7/21 0:00,27/7/21 16:00,30/7/21 17:00,1044,1.3975,1.3954,1.3956,30/7/21 19:00
