,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,w0,w1,w2,w3,w4,w5,c_serial,c_high,c_low,c_close,c_time
0,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,522,Bull,1.38136,1.3798549,1.3812051,2021-06-23 22:00:00,2021-06-26 02:00:00,2021-06-28 15:00:00,2021-06-29 20:00:00,2021-06-30 18:00:00,2021-07-01 01:00:00,525,1.383815,1.3829551,1.38318,2021-07-01 04:00:00
1,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,522,Bull,1.38136,1.3798549,1.3812051,2021-06-24 16:00:00,2021-06-26 02:00:00,2021-06-28 15:00:00,2021-06-29 20:00:00,2021-06-30 18:00:00,2021-07-01 01:00:00,525,1.383815,1.3829551,1.38318,2021-07-01 04:00:00
2,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,539,Bull,1.37922,1.37651,1.37913,2021-06-23 22:00:00,2021-06-26 02:00:00,2021-06-28 15:00:00,2021-06-29 20:00:00,2021-06-30 18:00:00,2021-07-01 18:00:00,541,1.3817949,1.38043,1.3810799,2021-07-01 20:00:00
3,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,539,Bull,1.37922,1.37651,1.37913,2021-06-24 16:00:00,2021-06-26 02:00:00,2021-06-28 15:00:00,2021-06-29 20:00:00,2021-06-30 18:00:00,2021-07-01 18:00:00,541,1.3817949,1.38043,1.3810799,2021-07-01 20:00:00
4,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,548,Bull,1.376035,1.3752849,1.375785,2021-06-23 22:00:00,2021-06-26 02:00:00,2021-06-28 15:00:00,2021-06-29 20:00:00,2021-06-30 18:00:00,2021-07-02 03:00:00,550,1.376635,1.37594,1.3763399,2021-07-02 05:00:00
5,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,548,Bull,1.376035,1.3752849,1.375785,2021-06-24 16:00:00,2021-06-26 02:00:00,2021-06-28 15:00:00,2021-06-29 20:00:00,2021-06-30 18:00:00,2021-07-02 03:00:00,550,1.376635,1.37594,1.3763399,2021-07-02 05:00:00
6,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,551,Bull,1.37634,1.37519,1.37607,2021-06-23 22:00:00,2021-06-26 02:00:00,2021-06-28 15:00:00,2021-06-29 20:00:00,2021-06-30 18:00:00,2021-07-02 06:00:00,557,1.377655,1.3768001,1.377105,2021-07-02 12:00:00
7,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,551,Bull,1.37634,1.37519,1.37607,2021-06-24 16:00:00,2021-06-26 02:00:00,2021-06-28 15:00:00,2021-06-29 20:00:00,2021-06-30 18:00:00,2021-07-02 06:00:00,557,1.377655,1.3768001,1.377105,2021-07-02 12:00:00
8,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,565,Bull,1.37872,1.3731899,1.37801,2021-06-24 16:00:00,2021-06-26 02:00:00,2021-06-28 15:00:00,2021-06-29 20:00:00,2021-06-30 18:00:00,2021-07-02 20:00:00,568,1.3796649,1.3780849,1.3792701,2021-07-02 23:00:00
9,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,953,Bear,1.3833599,1.382445,1.3827751,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-27 00:00:00,955,1.3822899,1.3814,1.3814001,2021-07-27 02:00:00
10,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,979,Bear,1.38943,1.38866,1.388675,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-22 21:00:00,2021-07-23 19:00:00,2021-07-28 02:00:00,985,1.3889749,1.3874149,1.387665,2021-07-28 08:00:00
11,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,979,Bear,1.38943,1.38866,1.388675,2021-07-20 21:00:00,2021-07-21 08:00:00,2021-07-21 14:00:00,2021-07-27 00:00:00,2021-07-27 16:00:00,2021-07-28 02:00:00,985,1.3889749,1.3874149,1.387665,2021-07-28 08:00:00
