,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
1608,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,180,Bull,1.320415,1.318745,1.31991,187,Bear,1.3275499,1.326045,1.326105,200,Bull,1.323405,1.32216,1.32337,249,Bear,1.328275,1.324595,1.3273549,True
1609,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,180,Bull,1.320415,1.318745,1.31991,187,Bear,1.3275499,1.326045,1.326105,200,Bull,1.323405,1.32216,1.32337,273,Bear,1.330305,1.32646,1.32988,True
702,38,Bear,1.333375,1.331125,1.3312199,52,Bull,1.328975,1.3283451,1.32863,62,Bear,1.331035,1.3264,1.328515,64,Bull,1.3250599,1.3208699,1.32195,124,Bear,1.32615,1.325655,1.326045,132,Bull,1.322355,1.316155,1.32145,True
677,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,180,Bull,1.320415,1.318745,1.31991,207,Bear,1.32688,1.32531,1.326235,260,Bull,1.3243,1.3172,1.323875,362,Bear,1.32752,1.3259399,1.32721,True
87,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,180,Bull,1.320415,1.318745,1.31991,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
97,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,180,Bull,1.320415,1.318745,1.31991,295,Bear,1.3338399,1.332375,1.33267,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
102,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,180,Bull,1.320415,1.318745,1.31991,298,Bear,1.33395,1.331635,1.3317599,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
159,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,200,Bull,1.323405,1.32216,1.32337,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
169,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,200,Bull,1.323405,1.32216,1.32337,295,Bear,1.3338399,1.332375,1.33267,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
174,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,200,Bull,1.323405,1.32216,1.32337,298,Bear,1.33395,1.331635,1.3317599,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
208,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,221,Bull,1.3201151,1.3191249,1.320035,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
218,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,221,Bull,1.3201151,1.3191249,1.320035,295,Bear,1.3338399,1.332375,1.33267,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
223,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,221,Bull,1.3201151,1.3191249,1.320035,298,Bear,1.33395,1.331635,1.3317599,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
231,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,260,Bull,1.3243,1.3172,1.323875,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
241,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,260,Bull,1.3243,1.3172,1.323875,295,Bear,1.3338399,1.332375,1.33267,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
246,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,260,Bull,1.3243,1.3172,1.323875,298,Bear,1.33395,1.331635,1.3317599,367,Bull,1.32567,1.3240349,1.32516,381,Bear,1.336355,1.3355949,1.336345,True
111,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,180,Bull,1.320415,1.318745,1.31991,278,Bear,1.33746,1.334625,1.33568,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,True
204,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,200,Bull,1.323405,1.32216,1.32337,278,Bear,1.33746,1.334625,1.33568,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,True
270,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,221,Bull,1.3201151,1.3191249,1.320035,278,Bear,1.33746,1.334625,1.33568,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,True
304,132,Bull,1.322355,1.316155,1.32145,171,Bear,1.323345,1.32255,1.322865,260,Bull,1.3243,1.3172,1.323875,278,Bear,1.33746,1.334625,1.33568,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,True
92,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,260,Bull,1.3243,1.3172,1.323875,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
93,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,260,Bull,1.3243,1.3172,1.323875,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
95,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,260,Bull,1.3243,1.3172,1.323875,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
96,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,260,Bull,1.3243,1.3172,1.323875,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
97,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,260,Bull,1.3243,1.3172,1.323875,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
136,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
137,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
139,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
140,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
141,221,Bull,1.3201151,1.3191249,1.320035,229,Bear,1.325665,1.3242049,1.3251901,367,Bull,1.32567,1.3240349,1.32516,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
235,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,260,Bull,1.3243,1.3172,1.323875,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
236,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,260,Bull,1.3243,1.3172,1.323875,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
238,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,260,Bull,1.3243,1.3172,1.323875,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
239,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,260,Bull,1.3243,1.3172,1.323875,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
240,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,260,Bull,1.3243,1.3172,1.323875,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
279,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
280,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
282,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
283,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
284,221,Bull,1.3201151,1.3191249,1.320035,249,Bear,1.328275,1.324595,1.3273549,367,Bull,1.32567,1.3240349,1.32516,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
324,221,Bull,1.3201151,1.3191249,1.320035,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
325,221,Bull,1.3201151,1.3191249,1.320035,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
327,221,Bull,1.3201151,1.3191249,1.320035,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
328,221,Bull,1.3201151,1.3191249,1.320035,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,400,Bear,1.3438151,1.340575,1.3410101,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
329,221,Bull,1.3201151,1.3191249,1.320035,273,Bear,1.330305,1.32646,1.32988,367,Bull,1.32567,1.3240349,1.32516,422,Bear,1.34203,1.3403,1.34041,429,Bull,1.341635,1.33857,1.34139,450,Bear,1.344355,1.343395,1.34396,True
369,221,Bull,1.3201151,1.3191249,1.320035,278,Bear,1.33746,1.334625,1.33568,367,Bull,1.32567,1.3240349,1.32516,397,Bear,1.3436,1.3419199,1.34288,415,Bull,1.3409901,1.339045,1.3404,450,Bear,1.344355,1.343395,1.34396,True
