sn,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
911,399,Bear,1.4001,1.3963,1.3967,451,Bull,1.3889,1.3871,1.3875,464,Bear,1.394,1.3919,1.3926,493,Bull,1.3836,1.3814,1.3824,515,Bear,1.3873,1.3848,1.3862,522,Bull,1.3814,1.3799,1.3812,TRUE
929,417,Bear,1.3987,1.3956,1.397,451,Bull,1.3889,1.3871,1.3875,464,Bear,1.394,1.3919,1.3926,493,Bull,1.3836,1.3814,1.3824,515,Bear,1.3873,1.3848,1.3862,522,Bull,1.3814,1.3799,1.3812,TRUE
197,399,Bear,1.4001,1.3963,1.3967,451,Bull,1.3889,1.3871,1.3875,464,Bear,1.394,1.3919,1.3926,493,Bull,1.3836,1.3814,1.3824,515,Bear,1.3873,1.3848,1.3862,539,Bull,1.3792,1.3765,1.3791,TRUE
229,417,Bear,1.3987,1.3956,1.397,451,Bull,1.3889,1.3871,1.3875,464,Bear,1.394,1.3919,1.3926,493,Bull,1.3836,1.3814,1.3824,515,Bear,1.3873,1.3848,1.3862,539,Bull,1.3792,1.3765,1.3791,TRUE
274,399,Bear,1.4001,1.3963,1.3967,451,Bull,1.3889,1.3871,1.3875,464,Bear,1.394,1.3919,1.3926,493,Bull,1.3836,1.3814,1.3824,515,Bear,1.3873,1.3848,1.3862,548,Bull,1.376,1.3753,1.3758,TRUE
320,417,Bear,1.3987,1.3956,1.397,451,Bull,1.3889,1.3871,1.3875,464,Bear,1.394,1.3919,1.3926,493,Bull,1.3836,1.3814,1.3824,515,Bear,1.3873,1.3848,1.3862,548,Bull,1.376,1.3753,1.3758,TRUE
351,399,Bear,1.4001,1.3963,1.3967,451,Bull,1.3889,1.3871,1.3875,464,Bear,1.394,1.3919,1.3926,493,Bull,1.3836,1.3814,1.3824,515,Bear,1.3873,1.3848,1.3862,551,Bull,1.3763,1.3752,1.3761,TRUE
411,417,Bear,1.3987,1.3956,1.397,451,Bull,1.3889,1.3871,1.3875,464,Bear,1.394,1.3919,1.3926,493,Bull,1.3836,1.3814,1.3824,515,Bear,1.3873,1.3848,1.3862,551,Bull,1.3763,1.3752,1.3761,TRUE
502,417,Bear,1.3987,1.3956,1.397,451,Bull,1.3889,1.3871,1.3875,464,Bear,1.394,1.3919,1.3926,493,Bull,1.3836,1.3814,1.3824,515,Bear,1.3873,1.3848,1.3862,565,Bull,1.3787,1.3732,1.378,TRUE
1515,854,Bull,1.3618,1.3572,1.3614,865,Bear,1.3642,1.363,1.3634,871,Bull,1.3617,1.3591,1.3616,902,Bear,1.3787,1.3764,1.3767,924,Bull,1.374,1.372,1.3735,953,Bear,1.3834,1.3824,1.3828,TRUE
1616,854,Bull,1.3618,1.3572,1.3614,865,Bear,1.3642,1.363,1.3634,871,Bull,1.3617,1.3591,1.3616,902,Bear,1.3787,1.3764,1.3767,924,Bull,1.374,1.372,1.3735,979,Bear,1.3894,1.3887,1.3887,TRUE
1618,854,Bull,1.3618,1.3572,1.3614,865,Bear,1.3642,1.363,1.3634,871,Bull,1.3617,1.3591,1.3616,953,Bear,1.3834,1.3824,1.3828,969,Bull,1.3797,1.3767,1.3779,979,Bear,1.3894,1.3887,1.3887,TRUE
1968,854,Bull,1.3618,1.3572,1.3614,865,Bear,1.3642,1.363,1.3634,871,Bull,1.3617,1.3591,1.3616,902,Bear,1.3787,1.3764,1.3767,924,Bull,1.374,1.372,1.3735,992,Bear,1.3895,1.387,1.3873,TRUE
1973,854,Bull,1.3618,1.3572,1.3614,865,Bear,1.3642,1.363,1.3634,871,Bull,1.3617,1.3591,1.3616,953,Bear,1.3834,1.3824,1.3828,969,Bull,1.3797,1.3767,1.3779,992,Bear,1.3895,1.387,1.3873,TRUE
