,e_serial_p0,Direction_p0,e_high_p0,e_low_p0,e_close_p0,e_serial_p1,Direction_p1,e_high_p1,e_low_p1,e_close_p1,e_serial_p2,Direction_p2,e_high_p2,e_low_p2,e_close_p2,e_serial_p3,Direction_p3,e_high_p3,e_low_p3,e_close_p3,e_serial_p4,Direction_p4,e_high_p4,e_low_p4,e_close_p4,e_serial_p5,Direction_p5,e_high_p5,e_low_p5,e_close_p5,cond_all
911,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,522,Bull,1.38136,1.3798549,1.3812051,True
929,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,522,Bull,1.38136,1.3798549,1.3812051,True
197,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,539,Bull,1.37922,1.37651,1.37913,True
229,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,539,Bull,1.37922,1.37651,1.37913,True
274,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,548,Bull,1.376035,1.3752849,1.375785,True
320,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,548,Bull,1.376035,1.3752849,1.375785,True
351,399,Bear,1.40014,1.396345,1.396735,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,551,Bull,1.37634,1.37519,1.37607,True
411,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,551,Bull,1.37634,1.37519,1.37607,True
502,417,Bear,1.39866,1.3956499,1.397035,451,Bull,1.38891,1.387145,1.3875451,464,Bear,1.393965,1.391945,1.3926301,493,Bull,1.383575,1.38141,1.382365,515,Bear,1.3873,1.38475,1.3861899,565,Bull,1.37872,1.3731899,1.37801,True
1405,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,953,Bear,1.3833599,1.382445,1.3827751,True
1694,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,979,Bear,1.38943,1.38866,1.388675,True
1696,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,979,Bear,1.38943,1.38866,1.388675,True
1247,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,992,Bear,1.3895,1.38697,1.38728,True
1251,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,992,Bear,1.3895,1.38697,1.38728,True
1079,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,1023,Bear,1.398205,1.39641,1.3977001,True
1085,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,True
1120,854,Bull,1.3617599,1.3572049,1.3614049,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,True
1150,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,True
1162,924,Bull,1.374045,1.372005,1.3735449,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,True
1044,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,1042,Bear,1.398345,1.3966899,1.3974049,True
1058,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1042,Bear,1.398345,1.3966899,1.3974049,True
1060,854,Bull,1.3617599,1.3572049,1.3614049,865,Bear,1.3642249,1.362965,1.36343,871,Bull,1.3617051,1.3591249,1.3615899,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
1144,854,Bull,1.3617599,1.3572049,1.3614049,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1042,Bear,1.398345,1.3966899,1.3974049,True
1146,854,Bull,1.3617599,1.3572049,1.3614049,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
1170,854,Bull,1.3617599,1.3572049,1.3614049,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
1176,854,Bull,1.3617599,1.3572049,1.3614049,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
1227,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1042,Bear,1.398345,1.3966899,1.3974049,True
1229,871,Bull,1.3617051,1.3591249,1.3615899,902,Bear,1.37872,1.37644,1.3767049,924,Bull,1.374045,1.372005,1.3735449,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
1253,871,Bull,1.3617051,1.3591249,1.3615899,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
1259,871,Bull,1.3617051,1.3591249,1.3615899,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
1268,924,Bull,1.374045,1.372005,1.3735449,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1042,Bear,1.398345,1.3966899,1.3974049,True
1270,924,Bull,1.374045,1.372005,1.3735449,953,Bear,1.3833599,1.382445,1.3827751,969,Bull,1.3796599,1.37667,1.3779349,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
1276,924,Bull,1.374045,1.372005,1.3735449,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
1280,969,Bull,1.3796599,1.37667,1.3779349,992,Bear,1.3895,1.38697,1.38728,1003,Bull,1.3910451,1.3843601,1.3905001,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,True
831,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,1059,Bull,1.38975,1.3886449,1.38973,1065,Bear,1.39326,1.39095,1.3921349,1069,Bull,1.39044,1.38844,1.38901,True
1227,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,1059,Bull,1.38975,1.3886449,1.38973,1065,Bear,1.39326,1.39095,1.3921349,1073,Bull,1.3898001,1.3875749,1.38955,True
149,1023,Bear,1.398205,1.39641,1.3977001,1038,Bull,1.39486,1.393455,1.3938849,1042,Bear,1.398345,1.3966899,1.3974049,1203,Bull,1.3843601,1.38362,1.3842599,1209,Bear,1.3872449,1.3852351,1.38644,1217,Bull,1.384125,1.38276,1.38326,True
1181,1042,Bear,1.398345,1.3966899,1.3974049,1073,Bull,1.3898001,1.3875749,1.38955,1118,Bear,1.3957751,1.39342,1.394915,1203,Bull,1.3843601,1.38362,1.3842599,1209,Bear,1.3872449,1.3852351,1.38644,1217,Bull,1.384125,1.38276,1.38326,True
637,1042,Bear,1.398345,1.3966899,1.3974049,1073,Bull,1.3898001,1.3875749,1.38955,1118,Bear,1.3957751,1.39342,1.394915,1203,Bull,1.3843601,1.38362,1.3842599,1209,Bear,1.3872449,1.3852351,1.38644,1235,Bull,1.3819549,1.380285,1.3817401,True
828,1118,Bear,1.3957751,1.39342,1.394915,1235,Bull,1.3819549,1.380285,1.3817401,1242,Bear,1.3887949,1.387505,1.3876951,1337,Bull,1.3745899,1.372625,1.37268,1363,Bear,1.3786399,1.37489,1.3762,1406,Bull,1.363615,1.36023,1.3629551,True
1113,1406,Bull,1.363615,1.36023,1.3629551,1489,Bear,1.3768001,1.37591,1.37609,1513,Bull,1.3700349,1.36799,1.36824,1634,Bear,1.3845451,1.3838351,1.384165,1643,Bull,1.383935,1.38181,1.3818951,1651,Bear,1.38919,1.3878701,1.3878851,True
1119,1406,Bull,1.363615,1.36023,1.3629551,1575,Bear,1.3808,1.37608,1.37613,1587,Bull,1.37415,1.3731251,1.3736451,1634,Bear,1.3845451,1.3838351,1.384165,1643,Bull,1.383935,1.38181,1.3818951,1651,Bear,1.38919,1.3878701,1.3878851,True
1264,1513,Bull,1.3700349,1.36799,1.36824,1575,Bear,1.3808,1.37608,1.37613,1587,Bull,1.37415,1.3731251,1.3736451,1634,Bear,1.3845451,1.3838351,1.384165,1643,Bull,1.383935,1.38181,1.3818951,1651,Bear,1.38919,1.3878701,1.3878851,True
1979,1814,Bear,1.39132,1.387635,1.388005,1827,Bull,1.38048,1.3792701,1.37974,1839,Bear,1.38539,1.3819449,1.3829751,1914,Bull,1.36625,1.3640699,1.3656349,1931,Bear,1.3693049,1.367645,1.36854,1958,Bull,1.3638599,1.3616049,1.363385,True
2015,1814,Bear,1.39132,1.387635,1.388005,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1914,Bull,1.36625,1.3640699,1.3656349,1931,Bear,1.3693049,1.367645,1.36854,1958,Bull,1.3638599,1.3616049,1.363385,True
2063,1839,Bear,1.38539,1.3819449,1.3829751,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1914,Bull,1.36625,1.3640699,1.3656349,1931,Bear,1.3693049,1.367645,1.36854,1958,Bull,1.3638599,1.3616049,1.363385,True
1967,1814,Bear,1.39132,1.387635,1.388005,1827,Bull,1.38048,1.3792701,1.37974,1839,Bear,1.38539,1.3819449,1.3829751,1914,Bull,1.36625,1.3640699,1.3656349,1931,Bear,1.3693049,1.367645,1.36854,1964,Bull,1.3649399,1.36095,1.3619001,True
2021,1814,Bear,1.39132,1.387635,1.388005,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1914,Bull,1.36625,1.3640699,1.3656349,1931,Bear,1.3693049,1.367645,1.36854,1964,Bull,1.3649399,1.36095,1.3619001,True
2093,1839,Bear,1.38539,1.3819449,1.3829751,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1914,Bull,1.36625,1.3640699,1.3656349,1931,Bear,1.3693049,1.367645,1.36854,1964,Bull,1.3649399,1.36095,1.3619001,True
177,1814,Bear,1.39132,1.387635,1.388005,1827,Bull,1.38048,1.3792701,1.37974,1839,Bear,1.38539,1.3819449,1.3829751,1964,Bull,1.3649399,1.36095,1.3619001,1985,Bear,1.37508,1.37381,1.374515,2059,Bull,1.35379,1.3520751,1.35325,True
178,1814,Bear,1.39132,1.387635,1.388005,1827,Bull,1.38048,1.3792701,1.37974,1839,Bear,1.38539,1.3819449,1.3829751,1964,Bull,1.3649399,1.36095,1.3619001,2031,Bear,1.3729,1.370395,1.3706601,2059,Bull,1.35379,1.3520751,1.35325,True
179,1814,Bear,1.39132,1.387635,1.388005,1827,Bull,1.38048,1.3792701,1.37974,1839,Bear,1.38539,1.3819449,1.3829751,1964,Bull,1.3649399,1.36095,1.3619001,2046,Bear,1.3717451,1.371,1.3713751,2059,Bull,1.35379,1.3520751,1.35325,True
455,1814,Bear,1.39132,1.387635,1.388005,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1964,Bull,1.3649399,1.36095,1.3619001,1985,Bear,1.37508,1.37381,1.374515,2059,Bull,1.35379,1.3520751,1.35325,True
456,1814,Bear,1.39132,1.387635,1.388005,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1964,Bull,1.3649399,1.36095,1.3619001,2031,Bear,1.3729,1.370395,1.3706601,2059,Bull,1.35379,1.3520751,1.35325,True
457,1814,Bear,1.39132,1.387635,1.388005,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1964,Bull,1.3649399,1.36095,1.3619001,2046,Bear,1.3717451,1.371,1.3713751,2059,Bull,1.35379,1.3520751,1.35325,True
955,1839,Bear,1.38539,1.3819449,1.3829751,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1964,Bull,1.3649399,1.36095,1.3619001,1985,Bear,1.37508,1.37381,1.374515,2059,Bull,1.35379,1.3520751,1.35325,True
956,1839,Bear,1.38539,1.3819449,1.3829751,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1964,Bull,1.3649399,1.36095,1.3619001,2031,Bear,1.3729,1.370395,1.3706601,2059,Bull,1.35379,1.3520751,1.35325,True
957,1839,Bear,1.38539,1.3819449,1.3829751,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,1964,Bull,1.3649399,1.36095,1.3619001,2046,Bear,1.3717451,1.371,1.3713751,2059,Bull,1.35379,1.3520751,1.35325,True
829,1839,Bear,1.38539,1.3819449,1.3829751,1863,Bull,1.377815,1.37644,1.37685,1881,Bear,1.38129,1.378645,1.379535,2059,Bull,1.35379,1.3520751,1.35325,2071,Bear,1.355475,1.35337,1.3538849,2081,Bull,1.3442299,1.3411851,1.3424449,True
1003,1839,Bear,1.38539,1.3819449,1.3829751,1964,Bull,1.3649399,1.36095,1.3619001,1985,Bear,1.37508,1.37381,1.374515,2059,Bull,1.35379,1.3520751,1.35325,2071,Bear,1.355475,1.35337,1.3538849,2081,Bull,1.3442299,1.3411851,1.3424449,True
1004,1839,Bear,1.38539,1.3819449,1.3829751,1964,Bull,1.3649399,1.36095,1.3619001,2031,Bear,1.3729,1.370395,1.3706601,2059,Bull,1.35379,1.3520751,1.35325,2071,Bear,1.355475,1.35337,1.3538849,2081,Bull,1.3442299,1.3411851,1.3424449,True
1005,1839,Bear,1.38539,1.3819449,1.3829751,1964,Bull,1.3649399,1.36095,1.3619001,2046,Bear,1.3717451,1.371,1.3713751,2059,Bull,1.35379,1.3520751,1.35325,2071,Bear,1.355475,1.35337,1.3538849,2081,Bull,1.3442299,1.3411851,1.3424449,True
1283,1881,Bear,1.38129,1.378645,1.379535,1964,Bull,1.3649399,1.36095,1.3619001,1985,Bear,1.37508,1.37381,1.374515,2059,Bull,1.35379,1.3520751,1.35325,2071,Bear,1.355475,1.35337,1.3538849,2081,Bull,1.3442299,1.3411851,1.3424449,True
1284,1881,Bear,1.38129,1.378645,1.379535,1964,Bull,1.3649399,1.36095,1.3619001,2031,Bear,1.3729,1.370395,1.3706601,2059,Bull,1.35379,1.3520751,1.35325,2071,Bear,1.355475,1.35337,1.3538849,2081,Bull,1.3442299,1.3411851,1.3424449,True
1285,1881,Bear,1.38129,1.378645,1.379535,1964,Bull,1.3649399,1.36095,1.3619001,2046,Bear,1.3717451,1.371,1.3713751,2059,Bull,1.35379,1.3520751,1.35325,2071,Bear,1.355475,1.35337,1.3538849,2081,Bull,1.3442299,1.3411851,1.3424449,True
1314,1985,Bear,1.37508,1.37381,1.374515,2006,Bull,1.369405,1.365785,1.368835,2031,Bear,1.3729,1.370395,1.3706601,2059,Bull,1.35379,1.3520751,1.35325,2071,Bear,1.355475,1.35337,1.3538849,2081,Bull,1.3442299,1.3411851,1.3424449,True
1315,1985,Bear,1.37508,1.37381,1.374515,2006,Bull,1.369405,1.365785,1.368835,2046,Bear,1.3717451,1.371,1.3713751,2059,Bull,1.35379,1.3520751,1.35325,2071,Bear,1.355475,1.35337,1.3538849,2081,Bull,1.3442299,1.3411851,1.3424449,True
1793,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2137,Bear,1.357715,1.3557999,1.3557999,2144,Bull,1.3564451,1.35319,1.356255,2151,Bear,1.36404,1.3601949,1.360445,True
1939,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2137,Bear,1.357715,1.3557999,1.3557999,2144,Bull,1.3564451,1.35319,1.356255,2176,Bear,1.3648,1.3621349,1.36398,True
1941,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2151,Bear,1.36404,1.3601949,1.360445,2162,Bull,1.3596301,1.358455,1.35919,2176,Bear,1.3648,1.3621349,1.36398,True
1945,2081,Bull,1.3442299,1.3411851,1.3424449,2137,Bear,1.357715,1.3557999,1.3557999,2144,Bull,1.3564451,1.35319,1.356255,2151,Bear,1.36404,1.3601949,1.360445,2162,Bull,1.3596301,1.358455,1.35919,2176,Bear,1.3648,1.3621349,1.36398,True
1947,2120,Bull,1.3466899,1.343365,1.34614,2137,Bear,1.357715,1.3557999,1.3557999,2144,Bull,1.3564451,1.35319,1.356255,2151,Bear,1.36404,1.3601949,1.360445,2162,Bull,1.3596301,1.358455,1.35919,2176,Bear,1.3648,1.3621349,1.36398,True
747,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2137,Bear,1.357715,1.3557999,1.3557999,2144,Bull,1.3564451,1.35319,1.356255,2245,Bear,1.365865,1.3619001,1.3640499,True
777,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2176,Bear,1.3648,1.3621349,1.36398,2195,Bull,1.3573949,1.3544049,1.357305,2245,Bear,1.365865,1.3619001,1.3640499,True
780,2081,Bull,1.3442299,1.3411851,1.3424449,2104,Bear,1.3517449,1.346045,1.346925,2120,Bull,1.3466899,1.343365,1.34614,2176,Bear,1.3648,1.3621349,1.36398,2217,Bull,1.35927,1.357065,1.358765,2245,Bear,1.365865,1.3619001,1.3640499,True
